Expt,Phase,Spectrum Label,Na,Mg,Al,Si,P,K,Ca,Ti,Mn,Fe
SpG21,Glass,Site1 G14,2.7,0.98,14.95,66.29,0.3,5.31,5.05,4.42,0,0
SpG21,Glass,Site1 G15,2.75,0.97,14.88,66.44,0.29,5.22,5.08,4.32,0.04,0.02
SpG24,Unknown,Site1 Unk1,0.47,14.94,3.29,53.82,0,0.47,22.01,2.02,0.23,2.75
SpG24,Unknown,Site1 Unk2,0.62,13.53,3.62,53.61,0,0.78,21.38,3.72,0.27,2.46
SpG24,Unknown,Site1 Unk3,0.47,14.76,3.1,52.82,0,0.4,22.63,3.09,0.25,2.47
SpG24,Unknown,Site1 Unk4,1.64,0.18,10.35,62.39,0.12,4.86,8.46,11.67,0.05,0.27
SpG24,Unknown,Site1 Unk5,1.73,0.18,11.16,65.09,0.01,5.29,7,9.26,0,0.27
SpG24,Glass,Site1 G1,2.49,0.22,13.74,74.43,0,6.87,1.15,0.74,0.02,0.33
SpG24,Glass,Site1 G2,2.47,0.2,13.47,73.23,0,6.69,1.82,1.8,0,0.33
SpG24,Glass,Site1 G3,2.46,0.19,13.2,72.59,0.02,6.49,2.35,2.35,0.03,0.32
SpG24,Glass,Site1 G4,2.47,0.18,13.62,73.56,0,6.75,1.66,1.4,0.04,0.32
SpG24,Glass,Site1 G5,2.44,0.19,13.22,72.19,0,6.52,2.52,2.56,0,0.36
SpG24,Glass,Site1 G6,2.4,0.19,13.33,72.99,0,6.59,2.07,2.06,0,0.37
SpG24,Glass,Site1 G7,2.44,0.18,13.25,72.57,0,6.52,2.32,2.34,0.07,0.33
SpG24,Glass,Site1 G8,2.43,0.25,13.42,73.02,0,6.64,2.01,1.85,0.04,0.34
SpG24,Glass,Site1 G9,2.47,0.23,13.61,74.07,0.05,6.79,1.45,1.05,0,0.27
SpG24,Glass,Site1 G10,2.44,0.2,13.55,74.01,0.06,6.79,1.53,1.15,0,0.26
SpG24,Glass,Site1 G11,2.36,0.2,13.63,74.05,0,6.79,1.51,1.12,0,0.34
SpG24,Glass,Site1 G12,2.52,0.26,13.72,74.31,0.03,6.81,1.2,0.78,0.05,0.31
SpG24,Glass,Site1 G13,2.47,0.16,13.42,73.43,0,6.62,1.87,1.69,0,0.34
