"","DF_Model","Expt","Source","TC","Pkb","Titanite","Rutile","SiO2","Al2O3","Na2O","K2O","CaO","FeO","MgO","TiO2","Si","Al","Na","K","Ca","Fe","Mg","Ti","eCa","CationSum","lnTiO2","Al2O3m","Na2Om","K2Om","CaOm","M","FM","C","A_CNK","A_NK","A_C","TK","InvTK","PInvTK"
"36","N","HL240-2000","LEPR",1150,0.001,"Y","N",63.21,15.71,10.38,1.38,5.49,0,0,3.55,0.563552803398516,0.16507660882623,0.179430483931571,0.015696372126514,0.0524423844707778,0,0,0.0238013472463919,0.125945085530233,1.86675170169878,1.26694760348732,0.154078520218515,0.167476080607948,0.0146506146888337,0.0978969104519663,3.22491245973706,3.22491245973706,13.5382045802254,0.550234041185665,0.845996354172236,1.57388542199311,1423.15,0.000702666619822225,0
"37","N","HL240-20000","LEPR",1150,0.001,"Y","N",61.57,14.71,10.75,1.42,6.38,0,0,3.96,0.55281643776308,0.155662856808134,0.187141587624433,0.0162656534310556,0.0613753150917092,0,0,0.0267381492815877,0.158017531787773,1.85363228731751,1.37624402526639,0.14427084865782,0.173445844560254,0.0150752701870607,0.113767265698278,3.79019818401869,3.79019818401869,18.3628179737055,0.477262303119807,0.765276870186102,1.26812266931369,1423.15,0.000702666619822225,0
"38","N","HL240-250","LEPR",1150,0.001,"Y","N",62.7,15.5,10.55,1.48,5.76,0,0,3.94,0.557602695282358,0.162461160438153,0.181911365507291,0.0167915356032972,0.0548834076531943,0,0,0.0263498355157064,0.136623801975549,1.87144925938949,1.37118072330984,0.152018909190769,0.170218945126575,0.0157122534344013,0.102711512605342,3.40516467071839,3.40516467071839,15.0817574272831,0.526668103194106,0.817608396908785,1.4800571555682,1423.15,0.000702666619822225,0
"39","N","HL240-45000","LEPR",1150,0.001,"Y","N",59.86,13.26,9.41,1.13,7.63,0,0,4.16,0.562182946533644,0.146772607002288,0.171348627101391,0.0135391304944034,0.0767762249685774,0,0,0.0293804638996965,0.169829501767129,1.77212529709696,1.42551507427317,0.130049724894813,0.151825618354604,0.0119965178249145,0.136057090482423,4.10165640652614,4.10165640652614,20.5821367685005,0.433673670372039,0.79384708274285,0.955846728999497,1423.15,0.000702666619822225,0
"40","N","HL240-500","LEPR",1150,0.001,"Y","N",63.43,15.83,10.33,1.38,5.43,0,0,3.45,0.564884695691806,0.166152370382067,0.178367394946727,0.0156788988873434,0.0518115026902056,0,0,0.0231051374018512,0.122891528494891,1.86883209007237,1.23837423104327,0.155255440805798,0.166669355749528,0.0146506146888337,0.0968269988623273,3.171521756215,3.171521756215,13.0934952749437,0.558177718765508,0.856251191914771,1.60343130149626,1423.15,0.000702666619822225,0
"41","N","HL240-5000","LEPR",1150,0.001,"Y","N",63.01,15.55,9.67,1.42,5.95,0,0,3.83,0.566877940230998,0.164881147033487,0.168677285038335,0.0162982058021238,0.0573532858873916,0,0,0.0259121360076645,0.124686131009176,1.84993003157395,1.34286480319255,0.152509292768804,0.156020587618387,0.0150752701870607,0.106099565972532,3.2062707429509,3.2062707429509,13.3400541366312,0.550186906732474,0.891367533527442,1.43741674502502,1423.15,0.000702666619822225,0
"42","N","ND-002-18","LEPR",752,1.519999951,"Y","N",76.80999756,11.82999992,4.570000172,4.78000021,0.310000002,1.309999943,0.039999999,0.07,0.716167542391307,0.129999641322867,0.0826158071396027,0.056858601620777,0.00309684765341839,0.0102147506077327,0.000555992615015634,0.000490816649280148,0.0139841119060038,1.78500113689155,-2.65926003693278,0.116024753778405,0.0737346548347021,0.0507463342675754,0.00552787658213176,1.56461568377428,1.79599198787503,1.50202825470235,0.892437243934197,0.932068058063677,20.9890275324602,1025.15,0.000975467004828562,1.4817343325367
"43","N","ND-002-20","LEPR",752,1.519999951,"Y","N",76.76000214,11.53999996,4.360000134,4.840000153,0.280000001,1.49000001,0.039999999,0.039999999,0.719907154188506,0.127558043079375,0.0792826329754022,0.0579106263739595,0.00281358996056868,0.011686578769924,0.000559259862186576,0.000282114790078357,0.0135421180773796,1.7745729972932,-3.2188758498682,0.113180529418111,0.0703464098162281,0.0513833169097819,0.00499292076948042,1.55527083170703,1.82197769427648,1.47469517338415,0.893135770558601,0.929769025711018,22.6682005670779,1025.15,0.000975467004828562,1.4817343325367
"44","N","RHY","LEPR",1150,0.001,"Y","N",67.22,13.81,5.58,4.57,5.6,0,0,2.1,0.623998458813565,0.15109121612243,0.100431340298976,0.0541218439450852,0.055697319841725,0,0,0.0146598209782188,0.102961855651866,1.79287648520142,0.741937344729377,0.135443944253195,0.0900304941996483,0.048516890672442,0.0998584150329711,2.82080917321327,2.82080917321327,10.9207792199499,0.56812352848434,0.977600150145306,1.35635984417011,1423.15,0.000702666619822225,0
"45","N","SH2K","LEPR",1150,0.001,"Y","N",58.95,7.05,0.59,14.42,9.93,0,0,6.6,0.575672200141723,0.081141137984907,0.0111710375164745,0.179650356794255,0.103896748891377,0,0,0.0484685186712628,0.270533944022562,1.70429171244208,1.88706964903238,0.0691440845028982,0.00951935332935349,0.153088307110856,0.177070368085251,8.533696006721,8.533696006721,57.9169138830465,0.203557718475499,0.425220339040067,0.390489302363729,1423.15,0.000702666619822225,0
